frame;detected_all;matched_all;total_ms_all;detect_ms_all;match_ms_all;detected_0;matched_0;total_ms_0;detect_ms_0;match_ms_0;detected_1;matched_1;total_ms_1;detect_ms_1;match_ms_1;detected_2;matched_2;total_ms_2;detect_ms_2;match_ms_2;detected_3;matched_3;total_ms_3;detect_ms_3;match_ms_3;
32;804;473;32.093;23.696;8.39769;41;4.94;4.119;0.821;243;135;7.424;4.952;2.472;242;142;9.367;7.031;2.336;250;155;10.362;7.594;2.768;
33;815;463;48.987;37.861;11.12676;38;11.485;9.751;1.734;246;125;13.144;9.913;3.231;243;138;12.019;9.066;2.953;250;162;12.339;9.131;3.208;
34;802;456;79.215;60.328;18.88765;39;16.787;14.246;2.541;245;130;25.065;18.559;6.506;242;131;20.576;15.236;5.34;250;156;16.787;12.287;4.5;
35;821;477;35.592;26.647;8.94571;41;8.329;6.546;1.783;250;142;9.811;7.259;2.552;250;139;8.742;6.251;2.491;250;155;8.71;6.591;2.119;
36;819;473;65.299;49.861;15.43871;39;13.929;11.775;2.154;250;137;23.214;17.513;5.701;248;139;15.357;11.422;3.935;250;158;12.799;9.151;3.648;
37;805;472;67.878;49.12;18.75857;36;11.699;10.015;1.684;248;130;18.222;12.279;5.943;250;154;19.223;13.486;5.737;250;152;18.734;13.34;5.394;
38;816;464;70.618;54.38;16.23868;33;13.401;11.436;1.965;248;127;18.024;13.145;4.879;250;147;19.23;13.924;5.306;250;157;19.963;15.875;4.088;
39;816;496;41.505;30.005;11.568;40;5.605;4.669;0.936;248;143;8.34;6.076;2.264;250;157;11.186;7.209;3.977;250;156;16.374;12.051;4.323;
40;806;490;64.385;50.185;14.258;36;12.857;11.115;1.742;248;131;17.965;12.726;5.239;250;150;21.001;17.024;3.977;250;173;12.562;9.32;3.242;
41;806;442;68.164;51.809;16.35564;35;11.216;9.508;1.708;243;114;17.037;12.483;4.554;249;140;20.254;14.787;5.467;250;153;19.657;15.031;4.626;
42;799;415;77.904;53.016;24.88860;31;14.423;12.298;2.125;239;109;18.474;13.702;4.772;250;145;16.166;11.203;4.963;250;130;28.841;15.813;13.028;
43;814;497;74.773;56.783;17.9969;44;12.772;10.231;2.541;246;133;17.918;12.454;5.464;249;148;23.675;17.961;5.714;250;172;20.408;16.137;4.271;
44;807;480;80.987;61.703;19.28473;37;13.912;11.542;2.37;243;133;25.628;18.533;7.095;241;157;22.473;17.601;4.872;250;153;18.974;14.027;4.947;
45;820;461;75.22;52.94;22.2872;39;14.177;12.259;1.918;248;131;24.47;15.609;8.861;250;141;19.66;13.358;6.302;250;150;16.913;11.714;5.199;
46;812;467;72.193;53.623;18.5773;41;12.659;10.75;1.909;243;138;19.662;14.472;5.19;246;146;18.934;14.193;4.741;250;142;20.938;14.208;6.73;
47;794;488;75.175;58.448;16.72752;32;15.273;13.541;1.732;247;137;19.264;14.149;5.115;245;156;17.054;12.605;4.449;250;163;23.584;18.153;5.431;
48;794;445;86.904;65.027;21.87755;27;17.123;13.32;3.803;239;122;20.178;15.236;4.942;250;143;26.521;17.967;8.554;250;153;23.082;18.504;4.578;
