frame;detected;matched;total_ms;detect_ms;match_ms
167;1000;675;34.262;25;9.262
168;1000;683;37.486;29.388;8.098
169;1000;680;30.406;21.253;9.153
170;1000;669;25.278;15.965;9.313
171;1000;679;39.026;29.373;9.653
172;1000;647;27.947;18.088;9.859
173;1000;655;35.662;24.736;10.926
174;1000;657;44.306;33.158;11.148
175;1000;651;27.456;18.801;8.655
176;1000;643;27.441;18.92;8.521
177;1000;656;25.962;17.388;8.574
178;1000;657;35.768;27.047;8.721
179;1000;671;32.673;24.128;8.545
180;1000;660;33.821;24.366;9.455
181;1000;652;24.577;15.824;8.753
182;1000;629;32.13;23.402;8.728
183;1000;653;25.211;16.479;8.732
184;1000;630;35.988;26.312;9.676
185;1000;676;24.836;15.759;9.077
186;1000;672;24.328;15.508;8.82
187;1000;651;27.566;19.104;8.462
188;1000;630;27.584;18.931;8.653
189;1000;629;35.512;26.357;9.155
190;1000;640;25.204;16.299;8.905
191;1000;660;29.249;20.655;8.594
192;1000;642;33.917;24.056;9.861
193;1000;660;25.025;15.785;9.24
194;1000;658;27.776;19.016;8.76
195;1000;659;24.593;16.122;8.471
196;1000;643;32.508;23.993;8.515
197;1000;690;28.999;20.431;8.568
198;1000;708;31.045;23.057;7.988
199;1000;688;26.036;17.609;8.427
200;1000;702;31.912;24.04;7.872
201;1000;683;29.848;21.313;8.535
202;1000;680;27.243;18.511;8.732
203;1000;670;24.883;15.633;9.25
204;1000;674;29.936;18.023;11.913
205;1000;683;30.075;21.569;8.506
206;1000;681;29.648;21.686;7.962
207;1000;672;38.831;29.821;9.01
208;1000;666;28.931;20.502;8.429
209;1000;672;26.251;16.543;9.708
210;1000;693;27.503;19.088;8.415
211;1000;683;26.08;17.245;8.835
212;1000;707;28.587;20.16;8.427
213;1000;721;25.246;16.254;8.992
214;1000;663;24.779;16.222;8.557
215;1000;673;23.841;15.832;8.009
216;1000;698;36.365;28.126;8.239
217;1000;701;24.618;16.284;8.334
218;1000;723;27.521;19.196;8.325
219;1000;688;27.332;18.531;8.801
220;1000;698;27.735;18.777;8.958
221;1000;703;26.453;18.255;8.198
222;1000;689;25.573;17.677;7.896
223;1000;704;29.851;21.694;8.157
224;1000;704;38.752;30.154;8.598
225;1000;733;24.824;16.352;8.472
226;1000;705;25.361;16.419;8.942
227;1000;695;26.411;18.735;7.676
228;1000;686;39.985;31.174;8.811
229;1000;688;40.068;31.159;8.909
230;1000;698;29.176;20.284;8.892
231;1000;696;26.825;17.887;8.938
232;1000;705;25.915;16.926;8.989
233;1000;670;30.501;20.813;9.688
234;1000;662;26.75;17.489;9.261
235;1000;686;31.538;23.056;8.482
236;1000;682;24.857;16.197;8.66
237;1000;682;25.207;16.236;8.971
238;1000;698;25.398;16.476;8.922
239;1000;703;25.302;17.134;8.168
240;1000;697;24.449;16.056;8.393
241;1000;695;25.483;17.476;8.007
242;1000;701;25.91;17.226;8.684
243;1000;691;25.946;16.901;9.045
244;1000;679;24.304;15.606;8.698
245;1000;670;26.204;17.246;8.958
246;1000;702;26.016;17.765;8.251
247;1000;678;23.811;15.722;8.089
248;1000;20;28.494;19.531;8.963
249;1000;688;25.932;17.94;7.992
250;1000;717;37.23;27.358;9.872
251;1000;684;23.798;14.991;8.807
252;1000;659;25.426;16.629;8.797
253;1000;659;25.22;16.705;8.515
254;1000;668;23.337;14.93;8.407
255;1000;677;38.311;29.489;8.822
256;1000;693;34.762;26.36;8.402
257;1000;649;28.095;19.336;8.759
258;1000;631;23.407;15.128;8.279
259;1000;680;24.012;15.173;8.839
260;1000;681;24.639;15.806;8.833
261;1000;639;37.764;27.826;9.938
262;1000;668;24.521;16.081;8.44
263;1000;648;25.332;16.274;9.058
264;1000;639;23.452;15.161;8.291
265;1000;620;25.075;16.737;8.338
266;1000;641;24.258;15.426;8.832
267;1000;637;27.852;18.961;8.891
268;1000;624;27.121;18.349;8.772
269;1000;636;25.145;16.026;9.119
270;1000;655;36.926;28.585;8.341
271;1000;649;31.158;22.445;8.713
272;1000;652;26.629;17.03;9.599
273;1000;613;30.668;22.43;8.238
274;1000;614;24.914;16.116;8.798
275;1000;632;26.693;17.6;9.093
276;1000;634;24.033;15.729;8.304
277;1000;612;36.606;28.087;8.519
278;1000;624;25.787;17.175;8.612
279;1000;609;25.469;16.524;8.945
280;1000;632;38.893;28.996;9.897
281;1000;624;24.894;15.677;9.217
282;1000;621;26.233;16.652;9.581
283;1000;612;42.834;25.734;17.1
284;1000;613;28.849;19.503;9.346
285;1000;626;29.333;19.825;9.508
286;1000;655;26.589;17.436;9.153
287;1000;633;29.768;18.626;11.142
288;1000;623;26.183;16.907;9.276
289;1000;380;29.129;20.716;8.413
290;1000;641;27.673;19.708;7.965
291;1000;647;35.326;25.521;9.805
292;1000;654;25.028;16.108;8.92
293;1000;632;25.21;16.322;8.888
294;1000;621;32.305;23.376;8.929
295;1000;625;26.755;17.737;9.018
296;1000;613;32.007;22.149;9.858
297;1000;633;29.483;19.743;9.74
298;1000;648;25.392;16.734;8.658
299;1000;644;30.73;20.438;10.292
300;1000;626;25.428;17.146;8.282
301;1000;643;29.311;20.555;8.756
302;1000;614;26.567;17.614;8.953
303;1000;631;29.901;21.039;8.862
304;1000;627;26.084;18.082;8.002
305;1000;613;31.51;23.43;8.08
306;1000;633;25.568;16.335;9.233
307;1000;626;28.404;19.849;8.555
308;1000;619;25.134;16.526;8.608
309;1000;624;25.194;16.63;8.564
310;1000;613;25.773;17.193;8.58
311;1000;623;29.256;20.908;8.348
312;1000;627;32.913;24.421;8.492
313;1000;624;24.541;16.287;8.254
314;1000;626;24.886;16.399;8.487
315;1000;608;33.311;24.301;9.01
316;1000;618;28.772;19.121;9.651
317;1000;600;44.286;34.734;9.552
318;1000;605;27.1;17.146;9.954
319;1000;617;34.856;26.5;8.356
320;1000;587;33.539;24.865;8.674
321;1000;612;25.832;16.175;9.657
322;1000;551;28.804;19.917;8.887
323;1000;599;28.626;19.569;9.057
324;1000;595;26.852;17.946;8.906
325;1000;599;26.751;17.798;8.953
326;1000;611;34.671;26.2;8.471
327;1000;598;24.769;16.251;8.518
328;1000;613;35.079;26.605;8.474
329;1000;597;39.626;30.741;8.885
330;1000;525;24.722;16.837;7.885
331;1000;614;26.814;18.911;7.903
332;1000;598;33.095;19.711;13.384
333;1000;607;33.933;25.375;8.558
334;1000;636;31.203;23.139;8.064
335;1000;609;26.271;17.358;8.913
336;1000;604;24.791;16.031;8.76
337;1000;620;33.769;25.131;8.638
338;1000;612;38.892;29.559;9.333
339;1000;628;25.138;16.302;8.836
340;1000;589;25.028;16.681;8.347
341;1000;610;25.021;16.721;8.3
342;1000;588;33.924;25.224;8.7
343;1000;618;37.907;29.516;8.391
344;1000;601;37.202;28.392;8.81
345;1000;591;32.2;23.776;8.424
346;1000;607;26.866;17.461;9.405
347;1000;622;27.453;18.652;8.801
348;1000;612;34.217;25.734;8.483
349;1000;611;34.251;25.86;8.391
350;1000;612;26.393;16.554;9.839
351;1000;572;25.054;16.353;8.701
352;1000;563;25.863;17.113;8.75
353;1000;587;24.901;16.367;8.534
354;1000;608;38.977;27.453;11.524
355;1000;560;43.969;31.956;12.013
356;1000;556;30.779;22.106;8.673
357;1000;573;27.29;18.458;8.832
358;1000;562;36.606;25.813;10.793
359;1000;597;28.978;20.149;8.829
360;1000;607;44.222;32.888;11.334
361;1000;608;24.773;16.063;8.71
362;1000;567;25.304;17.478;7.826
363;1000;607;36.514;27.506;9.008
364;1000;613;39.047;30.262;8.785
365;1000;595;25.812;16.83;8.982
366;1000;602;25.432;17.261;8.171
367;1000;623;24.141;16.168;7.973
368;1000;603;30.367;21.428;8.939
369;1000;602;26.038;16.781;9.257
370;1000;596;26.337;17.399;8.938
371;1000;603;25.614;17.289;8.325
372;1000;450;25.95;18.168;7.782
373;1000;589;29;20.091;8.909
374;1000;586;36.914;28.192;8.722
375;1000;599;45.312;35.269;10.043
376;1000;607;31.537;21.335;10.202
377;1000;588;28.077;19.096;8.981
378;1000;577;28.153;19.859;8.294
379;1000;616;34.433;26.148;8.285
380;1000;589;26.23;17.089;9.141
381;1000;608;29.653;20.833;8.82
382;1000;591;29.578;20.49;9.088
383;1000;620;27.395;18.675;8.72
384;1000;588;24.477;16.617;7.86
385;1000;618;27.133;18.991;8.142
386;1000;600;27.331;19.124;8.207
387;1000;612;28.501;19.801;8.7
388;1000;596;26.98;18.552;8.428
389;1000;612;32.212;23.83;8.382
390;1000;582;29.301;20.883;8.418
391;1000;618;37.472;28.359;9.113
392;1000;611;32.146;23.085;9.061
393;1000;631;40.154;30.804;9.35
394;1000;631;31.957;22.879;9.078
395;1000;637;36.427;25.946;10.481
396;1000;601;28.259;20.017;8.242
397;1000;613;28.715;19.085;9.63
398;1000;616;32.245;23.142;9.103
399;1000;622;41.33;32.933;8.397
400;1000;625;33.242;25.051;8.191
401;1000;604;36.692;25.086;11.606
402;1000;632;25.265;17.149;8.116
403;1000;620;48.273;37.637;10.636
404;1000;623;30.24;22.765;7.475
405;1000;611;25.85;17.075;8.775
406;1000;613;26.34;17.61;8.73
407;1000;644;26.569;17.636;8.933
408;1000;625;36.232;27.201;9.031
409;1000;617;34.83;23.079;11.751
410;1000;610;30.856;21.129;9.727
411;1000;610;34.712;23.103;11.609
412;1000;610;31.813;22.417;9.396
413;1000;524;34.566;25.837;8.729
414;1000;623;27.241;18.935;8.306
415;1000;640;28.696;19.138;9.558
416;1000;619;59.617;48.456;11.161
417;1000;632;33.501;23.43;10.071
418;1000;629;37.27;24.662;12.608
419;1000;616;25.782;18.211;7.571
420;1000;601;39.058;30.351;8.707
421;1000;613;29.104;20.515;8.589
422;1000;626;40.113;31.754;8.359
423;1000;583;29.423;21.293;8.13
424;1000;595;31.445;19.355;12.09
425;1000;583;29.249;20.389;8.86
426;1000;556;27.842;18.885;8.957
427;1000;597;27.624;19.576;8.048
428;1000;591;26.498;17.225;9.273
429;1000;581;38.781;29.442;9.339
430;1000;546;27.566;17.297;10.269
431;1000;589;29.63;21.017;8.613
432;1000;566;35.691;27.064;8.627
433;1000;579;37.906;29.273;8.633
434;1000;559;28.296;19.976;8.32
435;1000;544;33.268;24.941;8.327
436;1000;577;26.594;18.013;8.581
437;1000;578;24.405;15.849;8.556
438;1000;540;31.026;22.167;8.859
439;1000;574;38.421;29.526;8.895
440;1000;592;32.961;24.679;8.282
441;1000;588;33.252;24.562;8.69
442;1000;604;27.193;18.82;8.373
443;1000;596;39.642;30.322;9.32
444;1000;576;24.808;16.094;8.714
445;1000;588;25.905;17.731;8.174
446;1000;568;27.257;19.143;8.114
447;1000;583;27.61;18.891;8.719
448;1000;583;39.949;31.56;8.389
449;1000;615;31.252;22.569;8.683
450;1000;587;26.244;16.665;9.579
451;1000;585;38.674;30.065;8.609
452;1000;568;26.133;17.56;8.573
453;1000;605;35.511;24.572;10.939
454;1000;545;26.753;18.778;7.975
455;1000;594;29.03;18.362;10.668
456;1000;637;42.303;30.462;11.841
457;1000;588;64.859;42.279;22.58
458;1000;588;42.245;33.06;9.185
459;1000;561;28.635;19.949;8.686
460;1000;553;55.974;36.452;19.522
461;1000;557;25.282;16.047;9.235
462;1000;577;25.694;17.217;8.477
463;1000;564;27.379;17.717;9.662
464;1000;561;34.8;26.055;8.745
465;1000;567;47.323;33.882;13.441
466;1000;540;30.44;17.426;13.014
467;1000;549;30.718;21.384;9.334
468;1000;542;46.987;34.469;12.518
469;1000;532;51.895;34.796;17.099
470;1000;531;29.941;19.938;10.003
471;1000;512;30.64;20.025;10.615
472;1000;540;27.455;18.017;9.438
473;1000;592;30.507;19.801;10.706
474;1000;542;27.347;17.244;10.103
475;1000;537;49.002;37.596;11.406
476;1000;561;27.462;17.03;10.432
477;1000;566;27.715;18.967;8.748
478;1000;561;26.897;16.847;10.05
479;1000;548;28.238;19.792;8.446
480;1000;544;47.347;29.461;17.886
481;1000;532;48.808;35.801;13.007
482;1000;559;25.946;17.213;8.733
483;1000;565;48.896;31.935;16.961
484;1000;601;45.628;33.24;12.388
485;1000;575;30.736;22.803;7.933
486;1000;585;41.399;29.272;12.127
487;1000;556;37.663;29.374;8.289
488;1000;555;29.32;19.842;9.478
489;1000;592;40.447;32.137;8.31
490;1000;562;44.91;32.097;12.813
491;1000;607;54.183;37.105;17.078
492;1000;543;41.072;30.502;10.57
493;1000;557;27.89;19.193;8.697
494;1000;584;27.065;17.253;9.812
495;1000;550;23.654;16.152;7.502
496;1000;629;43.819;33.787;10.032
497;1000;595;35.35;24.168;11.182
498;1000;646;41.865;30.91;10.955
499;1000;641;33.597;24.708;8.889
500;1000;592;28.034;17.544;10.49
501;1000;622;39.748;29.456;10.292
502;1000;622;26.241;17.875;8.366
503;1000;626;29.272;18.525;10.747
504;1000;689;33.679;23.188;10.491
505;1000;680;61.716;47.669;14.047
506;1000;662;51.136;36.159;14.977
507;1000;579;25.774;16.87;8.904
508;1000;633;40.508;31.297;9.211
509;1000;601;27.361;17.542;9.819
510;1000;586;30.937;20.774;10.163
511;1000;617;35.637;27.694;7.943
512;1000;678;32.319;24.499;7.82
513;1000;694;28.623;20.237;8.386
514;1000;715;26.314;17.451;8.863
515;1000;701;38.2;27.522;10.678
516;1000;672;24.651;17.095;7.556
517;1000;692;24.739;16.904;7.835
518;1000;728;25.409;17.081;8.328
519;1000;743;30.316;22.543;7.773
520;1000;712;25.083;17.113;7.97
521;1000;732;29.247;21.013;8.234
522;1000;735;27.532;19.989;7.543
523;1000;769;24.479;16.623;7.856
524;1000;728;23.934;16.086;7.848
525;1000;697;27.57;19.374;8.196
526;1000;719;24.185;16.761;7.424
527;1000;829;25.202;17.393;7.809
528;1000;731;27.853;19.67;8.183
529;1000;736;27.719;20.001;7.718
530;1000;872;28.301;20.395;7.906
531;1000;816;23.932;16.283;7.649
532;1000;741;25.32;16.772;8.548
533;1000;748;43.236;34.02;9.216
534;1000;933;31.199;21.507;9.692
535;1000;831;28.117;20.124;7.993
536;1000;785;28.187;19.882;8.305
537;1000;773;30.461;22.432;8.029
538;1000;768;32.605;24.526;8.079
539;1000;816;26.627;17.782;8.845
540;1000;783;32.359;21.802;10.557
541;1000;873;26.879;18.509;8.37
542;1000;876;28.727;20.904;7.823
543;1000;785;26.425;18.911;7.514
544;1000;744;38.489;24.697;13.792
545;1000;683;67.216;50.729;16.487
546;1000;667;67.995;52.56;15.435
547;1000;625;52.229;35.61;16.619
548;1000;652;70.262;52.039;18.223
549;1000;607;69.376;53.327;16.049
550;1000;655;72.611;56.316;16.295
551;1000;601;70.348;54.704;15.644
552;1000;666;65.432;48.036;17.396
553;1000;643;56.503;37.433;19.07
554;1000;632;53.431;35.858;17.573
555;1000;622;54.663;38.366;16.297
556;1000;631;75.029;53.22;21.809
557;1000;602;64.907;41.401;23.506
558;1000;604;66.66;47.764;18.896
559;1000;584;66.709;49.53;17.179
560;1000;606;55.081;38.614;16.467
561;1000;599;62.52;46.455;16.065
562;1000;598;61.144;45.503;15.641
563;1000;573;54.346;38.326;16.02
564;1000;599;58.678;40.306;18.372
565;1000;596;60.994;44.229;16.765
566;1000;610;72.882;52.573;20.309
567;1000;637;61.905;44.628;17.277
568;1000;614;57.865;38.909;18.956
569;1000;615;77.073;51.04;26.033
570;1000;616;68.514;40.477;28.037
571;1000;601;51.424;39.89;11.534
572;1000;593;26.746;17.514;9.232
573;1000;620;30.694;20.778;9.916
574;1000;642;37.074;26.913;10.161
575;1000;609;31.573;22.82;8.753
576;1000;665;25.984;16.856;9.128
577;1000;664;26.325;17.69;8.635
578;1000;101;29.818;20.27;9.548
579;1000;690;32.585;22.432;10.153
580;1000;704;28.765;18.002;10.763
581;1000;696;37.108;27.912;9.196
582;1000;677;28.553;20.03;8.523
583;1000;672;26.716;18.43;8.286
584;1000;695;44.789;35.997;8.792
585;1000;685;37.662;25.094;12.568
586;1000;713;26.419;17.123;9.296
587;1000;750;33.005;22.315;10.69
588;1000;726;38.548;29.676;8.872
589;1000;720;27.34;18.866;8.474
590;1000;764;29.069;20.272;8.797
591;1000;745;28.641;19.615;9.026
592;1000;742;26.337;18.371;7.966
593;1000;757;25.157;17.211;7.946
594;1000;755;25.147;17.096;8.051
595;1000;741;34.072;24.152;9.92
596;1000;749;25.875;17.296;8.579
597;1000;747;35.283;24.847;10.436
598;1000;740;25.972;17.788;8.184
